DATA TIMESTAMP,TEMPERATURE AVG C,RAINFALL 24H MM,SUNSHINE 24H H,REL HUMIDITY AVG PC,WIND SPEED 24H MEAN MS
2021-05-01 00:00:00,29.566,0,6.6,79.76,3.6
2021-05-02 00:00:00,29.173,0,7.8,77.18,3.4
2021-05-03 00:00:00,29.21,0,7.4,82.41,3.7
2021-05-04 00:00:00,29.294,0,5.5,83.58,3.9
2021-05-05 00:00:00,29.479,0,7.6,76.97,3.7
2021-05-06 00:00:00,29.176,3.1,7.6,79.12,4.1
2021-05-07 00:00:00,29.033,3.4,7,83.1,3.7
2021-05-08 00:00:00,29.03,0,6.5,82.27,4.1
2021-05-09 00:00:00,28.274,0,6.7,83.18,4.1
2021-05-10 00:00:00,29.159,0,7.2,81.11,3.9
2021-05-11 00:00:00,28.088,0,7,85.34,3.8
2021-05-12 00:00:00,28.36,0,7.5,84.87,4
2021-05-13 00:00:00,29.379,3.8,8.1,82.77,4.1
2021-05-14 00:00:00,29.094,0,6.7,85.03,4.7
2021-05-15 00:00:00,29.46,0,6.7,82.94,4.3
2021-05-16 00:00:00,28.803,0,7.8,79.15,4.3
2021-05-17 00:00:00,28.317,18.1,7.7,81.74,5.1
2021-05-18 00:00:00,28.86,0,7.1,77.98,4.2
2021-05-19 00:00:00,28.868,0,7.8,82.18,4.2
2021-05-20 00:00:00,28.951,7.5,8.2,79.54,4.2
2021-05-21 00:00:00,29.446,0,8.6,78.98,3.6
2021-05-22 00:00:00,28.821,0,9.1,77.63,3.8
2021-05-23 00:00:00,28.974,0,6.3,82.4,3.8
2021-05-24 00:00:00,28.486,0,7.3,79.1,4.2
2021-05-25 00:00:00,29.148,0,7.4,78.69,3.9
2021-05-26 00:00:00,28.925,2.9,7.2,79.27,4
2021-05-27 00:00:00,28.49,10.1,6.4,81.99,4.4
2021-05-28 00:00:00,28.714,5.8,5.7,82.18,4.3
2021-05-29 00:00:00,28.707,0,7,82.98,3.9
2021-05-30 00:00:00,28.64,13.3,6.1,83.76,3.8
2021-05-31 00:00:00,29.38,0,6.4,88.8,4.4
2021-06-01 00:00:00,28.733,6.5,6.1,83.18,4.3
2021-06-02 00:00:00,28.649,10.1,5.8,83.65,3.4
2021-06-03 00:00:00,27.815,0,7,83.57,3.9
2021-06-04 00:00:00,28.208,0,6.5,87.74,4
2021-06-05 00:00:00,8888,0,6.7,89.52,4.2
2021-06-06 00:00:00,28.328,0,8.4,86.79,4.3
2021-06-07 00:00:00,29.31,0,6.8,85.23,4
2021-06-08 00:00:00,28.604,0,7,85.4,4.1
2021-06-09 00:00:00,29.125,0,5.2,89.07,4
2021-06-10 00:00:00,28.566,9.1,5,89.17,3.7
2021-06-11 00:00:00,28.577,0,7.6,88.42,3.8
2021-06-12 00:00:00,28.633,26.6,5.6,85.05,3.9
2021-06-13 00:00:00,28.606,15.1,5.4,86.87,3.9
2021-06-14 00:00:00,29.4,0,6.3,86.1,3.2
2021-06-15 00:00:00,27.586,0,6.3,85.84,3.7
2021-06-16 00:00:00,27.685,0,5.4,86.96,3.9
2021-06-17 00:00:00,28.409,32.6,6.1,84.85,3.7
2021-06-18 00:00:00,28.629,0,7.4,85.55,3.7
2021-06-19 00:00:00,28.993,0,5.7,83.66,4
2021-06-20 00:00:00,28.879,46.9,5.2,83.95,3.4
2021-06-21 00:00:00,28.462,0,7.2,84.65,3.2
2021-06-22 00:00:00,29.271,11.7,7.2,79.39,3.6
2021-06-23 00:00:00,29.166,5.4,6,82.33,4
2021-06-24 00:00:00,28.783,0,5.1,82.18,4.3
2021-06-25 00:00:00,29.129,0,5.8,82.11,4
2021-06-26 00:00:00,28.763,0,6.3,83.47,3.2
2021-06-27 00:00:00,28.205,25.9,6.9,88.45,3.6
2021-06-28 00:00:00,28.949,0,5.4,83.18,3.7
2021-06-29 00:00:00,28.492,18.8,5.8,88.44,3.7
2021-06-30 00:00:00,28.642,0,9999,82.52,3.8
2021-07-01 00:00:00,29.153,22.5,3.8,86.59,3.3
2021-07-02 00:00:00,27.311,13.3,6.7,88.51,3.6
2021-07-03 00:00:00,27.709,0,4.5,90.18,3.7
2021-07-04 00:00:00,27.774,13.2,5.8,91.03,3.8
2021-07-05 00:00:00,28.112,0,5.6,91.68,3.2
2021-07-06 00:00:00,28.241,5.6,6.6,89.14,3.4
2021-07-07 00:00:00,27.67,0,6.1,89.05,2.5
2021-07-08 00:00:00,27.778,0,3.2,92.41,3.2
2021-07-09 00:00:00,27.918,0,4.8,89.72,3.2
2021-07-10 00:00:00,29.503,19.8,5.9,86.81,3
2021-07-11 00:00:00,29.196,0,5.6,86.85,3.4
2021-07-12 00:00:00,28.185,0,6.1,86.97,3.3
2021-07-13 00:00:00,28.09,12.2,6.1,90.02,2.5
2021-07-14 00:00:00,27.776,32.1,6.1,88.58,3.4
2021-07-15 00:00:00,27.396,0,5.2,89.37,3
2021-07-16 00:00:00,28.309,8.8,4,86,3.4
2021-07-17 00:00:00,27.869,0,5.2,86.9,2.8
2021-07-18 00:00:00,28.246,0,5.9,87.57,3.2
2021-07-19 00:00:00,27.649,19.6,4.8,84.8,3.1
2021-07-20 00:00:00,27.96,0,6.2,86.37,3.3
2021-07-21 00:00:00,28.464,0,6.7,83.35,3.2
2021-07-22 00:00:00,28.527,8.6,5.9,83.99,3.1
2021-07-23 00:00:00,28.539,0,3,83.97,2.6
2021-07-24 00:00:00,27.811,51,4.7,82.09,2.6
2021-07-25 00:00:00,28.621,0,7.2,86.57,2.9
2021-07-26 00:00:00,27.934,0,5.1,84.56,3.1
2021-07-27 00:00:00,28.508,13.3,3.7,86.24,2.9
2021-07-28 00:00:00,28.145,0,6.4,87.97,3.3
2021-07-29 00:00:00,27.5,16.4,5.2,88.49,2.9
2021-07-30 00:00:00,27.923,0,6.1,89.66,2.7
2021-07-31 00:00:00,28.262,9.4,5.4,88.38,2.9
2021-08-01 00:00:00,28.368,0,5.6,88.16,3.1
2021-08-02 00:00:00,27.967,0,5.4,89.56,3.1
2021-08-03 00:00:00,28.831,0,6,86,3.6
2021-08-04 00:00:00,28.549,0,7.3,86.96,2.7
2021-08-05 00:00:00,27.947,0,6.1,87.52,2.9
2021-08-06 00:00:00,28.354,0,3.7,88.45,3.1
2021-08-07 00:00:00,28.752,0,5.1,91.92,2.9
2021-08-08 00:00:00,28.87,54.5,6.1,88.51,2.7
2021-08-09 00:00:00,27.385,0,6,89.55,2.3
2021-08-10 00:00:00,27.375,0,4.2,93.35,2.7
2021-08-11 00:00:00,28.608,0,6,88.72,2.5
2021-08-12 00:00:00,27.375,0,5.6,90.88,2.2
2021-08-13 00:00:00,27.41,0,7.5,86.08,2.6
2021-08-14 00:00:00,27.733,7.4,4.4,87.24,2.5
2021-08-15 00:00:00,28.215,20.7,4.8,84.72,3
2021-08-16 00:00:00,27.935,0,4.9,85.61,3
2021-08-17 00:00:00,27.592,0,4.5,87.97,2.5
2021-08-18 00:00:00,27.81,5.5,4.7,81.04,2.7
2021-08-19 00:00:00,27.605,9.7,2.6,86.03,2.2
2021-08-20 00:00:00,27.544,0,4.7,85.23,2.6
2021-08-21 00:00:00,29.031,0,5.7,82.97,2.9
2021-08-22 00:00:00,28.201,0,5.1,80.78,3.1
